periodo,fecha_sbs,retroceso_dias,http,bytes,archivo,error
2018-01-31,2018-01-31,0,200,269468,sbs_2018_01_31.html,
2018-02-28,2018-02-28,0,200,269583,sbs_2018_02_28.html,
2018-03-31,2018-03-28,3,200,269461,sbs_2018_03_28.html,
2018-04-30,2018-04-30,0,200,269489,sbs_2018_04_30.html,
2018-05-31,2018-05-31,0,200,269426,sbs_2018_05_31.html,
2018-06-30,2018-06-28,2,200,269433,sbs_2018_06_28.html,
2018-07-31,2018-07-31,0,200,269408,sbs_2018_07_31.html,
2018-08-31,2018-08-29,2,200,269452,sbs_2018_08_29.html,
2018-09-30,2018-09-28,2,200,269598,sbs_2018_09_28.html,
2018-10-31,2018-10-31,0,200,269532,sbs_2018_10_31.html,
2018-11-30,2018-11-30,0,200,269595,sbs_2018_11_30.html,
2018-12-31,2018-12-31,0,200,269622,sbs_2018_12_31.html,
2019-01-31,2019-01-31,0,200,269433,sbs_2019_01_31.html,
2019-02-28,2019-02-28,0,200,269520,sbs_2019_02_28.html,
2019-03-31,2019-03-29,2,200,265322,sbs_2019_03_29.html,
2019-04-30,2019-04-30,0,200,265295,sbs_2019_04_30.html,
2019-05-31,2019-05-31,0,200,265216,sbs_2019_05_31.html,
2019-06-30,2019-06-28,2,200,265240,sbs_2019_06_28.html,
2019-07-31,2019-07-31,0,200,265204,sbs_2019_07_31.html,
2019-08-31,2019-08-28,3,200,265321,sbs_2019_08_28.html,
2019-09-30,2019-09-30,0,200,265443,sbs_2019_09_30.html,
2019-10-31,2019-10-30,1,200,265362,sbs_2019_10_30.html,
2019-11-30,2019-11-29,1,200,265480,sbs_2019_11_29.html,
2019-12-31,2019-12-31,0,200,265430,sbs_2019_12_31.html,
2020-01-31,2020-01-31,0,200,265264,sbs_2020_01_31.html,
2020-02-29,2020-02-28,1,200,265320,sbs_2020_02_28.html,
2020-03-31,2020-03-31,0,200,265234,sbs_2020_03_31.html,
2020-04-30,2020-04-30,0,200,265247,sbs_2020_04_30.html,
2020-05-31,2020-05-29,2,200,265241,sbs_2020_05_29.html,
2020-06-30,2020-06-30,0,200,265240,sbs_2020_06_30.html,
2020-07-31,2020-07-31,0,200,269424,sbs_2020_07_31.html,
2020-08-31,2020-08-31,0,200,269390,sbs_2020_08_31.html,
2020-09-30,2020-09-30,0,200,269522,sbs_2020_09_30.html,
2020-10-31,2020-10-30,1,200,269387,sbs_2020_10_30.html,
2020-11-30,2020-11-30,0,200,269526,sbs_2020_11_30.html,
2020-12-31,2020-12-31,0,200,269454,sbs_2020_12_31.html,
2021-01-31,2021-01-29,2,200,269317,sbs_2021_01_29.html,
2021-02-28,2021-02-26,2,200,269374,sbs_2021_02_26.html,
2021-03-31,2021-03-31,0,200,269265,sbs_2021_03_31.html,
2021-04-30,2021-04-30,0,200,269273,sbs_2021_04_30.html,
2021-05-31,2021-05-31,0,200,269238,sbs_2021_05_31.html,
2021-06-30,2021-06-30,0,200,269274,sbs_2021_06_30.html,
2021-07-31,2021-07-30,1,200,269323,sbs_2021_07_30.html,
2021-08-31,2021-08-31,0,200,269362,sbs_2021_08_31.html,
2021-09-30,2021-09-30,0,200,269562,sbs_2021_09_30.html,
2021-10-31,2021-10-29,2,200,269449,sbs_2021_10_29.html,
2021-11-30,2021-11-30,0,200,269472,sbs_2021_11_30.html,
2021-12-31,2021-12-31,0,200,269473,sbs_2021_12_31.html,
2022-01-31,2022-01-31,0,200,269327,sbs_2022_01_31.html,
2022-02-28,2022-02-28,0,200,269429,sbs_2022_02_28.html,
2022-03-31,2022-03-31,0,200,269313,sbs_2022_03_31.html,
2022-04-30,2022-04-29,1,200,269393,sbs_2022_04_29.html,
2022-05-31,2022-05-31,0,200,269294,sbs_2022_05_31.html,
2022-06-30,2022-06-30,0,200,269364,sbs_2022_06_30.html,
2022-07-31,2022-07-27,4,200,269343,sbs_2022_07_27.html,
2022-08-31,2022-08-31,0,200,273360,sbs_2022_08_31.html,
2022-09-30,2022-09-30,0,200,273623,sbs_2022_09_30.html,
2022-10-31,2022-10-31,0,200,273598,sbs_2022_10_31.html,
2022-11-30,2022-11-30,0,200,273612,sbs_2022_11_30.html,
2022-12-31,2022-12-30,1,200,273579,sbs_2022_12_30.html,
2023-01-31,2023-01-31,0,200,273438,sbs_2023_01_31.html,
2023-02-28,2023-02-28,0,200,273505,sbs_2023_02_28.html,
2023-03-31,2023-03-31,0,200,273353,sbs_2023_03_31.html,
2023-04-30,2023-04-28,2,200,273409,sbs_2023_04_28.html,
2023-05-31,2023-05-31,0,200,273345,sbs_2023_05_31.html,
2023-06-30,2023-06-30,0,200,273384,sbs_2023_06_30.html,
2023-07-31,2023-07-31,0,200,273383,sbs_2023_07_31.html,
2023-08-31,2023-08-31,0,200,273518,sbs_2023_08_31.html,
2023-09-30,2023-09-29,1,200,273653,sbs_2023_09_29.html,
2023-10-31,2023-10-31,0,200,273549,sbs_2023_10_31.html,
2023-11-30,2023-11-30,0,200,273582,sbs_2023_11_30.html,
2023-12-31,2023-12-29,2,200,273617,sbs_2023_12_29.html,
2024-01-31,2024-01-31,0,200,273445,sbs_2024_01_31.html,
2024-02-29,2024-02-29,0,200,273577,sbs_2024_02_29.html,
2024-03-31,2024-03-27,4,200,273433,sbs_2024_03_27.html,
2024-04-30,2024-04-30,0,200,273408,sbs_2024_04_30.html,
2024-05-31,2024-05-31,0,200,273369,sbs_2024_05_31.html,
2024-06-30,2024-06-28,2,200,273422,sbs_2024_06_28.html,
2024-07-31,2024-07-31,0,200,273377,sbs_2024_07_31.html,
2024-08-31,2024-08-31,0,200,273495,sbs_2024_08_31.html,
2024-09-30,2024-09-30,0,200,273665,sbs_2024_09_30.html,
2024-10-31,2024-10-31,0,200,273508,sbs_2024_10_31.html,
2024-11-30,2024-11-29,1,200,273584,sbs_2024_11_29.html,
